,name,invoice,營業地址,統一編號
0,群慧有限公司,12898986,新北市新莊區營盤里中正路５１４巷１０５弄１１８號,12898986
1,雲鼎網路有限公司,53084680,臺北市內湖區石潭里南京東路６段４６１號３樓,53084680
2,全富發彩券行,37573161,臺南市善化區東關里中山路４４６號１樓,37573161
3,齊齊小舖,26230512,臺北市大安區古風里泰順街５０巷３６號１樓,26230512
4,花旗蛋糕有限公司,24498253,臺北市大安區龍坡里新生南路３段６之１號,24498253
5,恆輝廣告有限公司,54724024,新北市中和區秀峰里秀峰街１１９巷６弄１８－２號,54724024
6,騰瑪工程有限公司,54380702,金門縣金城鎮東門里民族路３６號,54380702
7,松果室內裝修有限公司,53492980,臺中市西　區藍興里大全街１５４巷４２號１樓,53492980
8,宇禾視覺形象有限公司,24631647,苗栗縣頭份市蟠桃里００５鄰大亨街１５８號１樓,24631647
9,騰日興業有限公司,24829248,臺中市北屯區平興里崇德二路一段８６號,24829248
10,高崎有限公司,28536052,高雄市苓雅區中正里光華一路１４８―１０１號７樓,28536052
11,喥咕咖啡_讀穀生活雜貨有限公司,42629995,臺北市大安區建倫里忠孝東路四段２１６巷４０弄１８號１樓,42629995
12,中移聯半導體科技股份有限公司,42580851,苗栗縣頭份市蟠桃里１２鄰上庄路７２號,42580851
13,福美小公館有限公司,42747439,臺東縣臺東市成功里成功路６８號１樓,42747439
14,牛耳超媒體股份有限公司,42715669,新北市三重區福祉里重新路４段９７號２８樓,42715669
15,E-SPA伊凱兒歐式美容美體_色彩能量開發有限公司,42862676,臺北市松山區慈祐里八德路４段６３６之１號,42862676
16,湯瑪士空間規劃有限公司,42672351,臺中市北屯區󿾴子里廍子里軍福七路３６號８樓之３,42672351
17,傑美窗簾_玉布企業社,47130454,臺中市大雅區二和里神林南路３１３巷１７弄１３號１樓,47130454
18,大宅藝術空間設計有限公司,13127179,臺北市大同區南芳里民權西路２９０號,13127179
19,(薇閣麵包咖啡)利洋開發股份有限公司,13166524,高雄市鳳山區文德里４鄰青年路２段３５８號１４樓,13166524
20,勁宇通訊商行,18095680,新北市中和區福和里光華街４６－４號,18095680
21,海陽營造股份有限公司,20792727,臺北市大安區大學里羅斯福路３段２４５號８樓,20792727
22,啟學實業有限公司,20912238,臺北市信義區松信路１６３號６樓之１,20912238
23,朋達企業股份有限公司,2095827,新北市板橋區聯翠里民生路３段３０號４樓之１,2095827
24,藍麗禮服有限公司,22634014,臺北市南港區南港路３段５０巷８號５樓,22634014
25,香港商郭良蕙新事業有限公司台灣分公司,22958293,臺北市大安區誠安里復興南路１段７６號１６樓之１,22958293
26,宏陽建設開發股份公司,23113483,臺北市中正區黎明里重慶南路一段１５號５樓,23113483
27,良暉實業有限公司,27411977,臺南市關廟區北勢里成功路３６５號１樓,27411977
28,愛格科技有限公司,27508064,雲林縣斗六市公誠里９鄰長春路５８號１樓,27508064
29,東經科技股份有限公司,27606558,臺中市神岡區豐洲里２９鄰文賢街６８號２樓,27606558
30,青禾設計顧問有限公司,27805563,新北市林口區東勢里麗園一街９巷１號１５樓之２,27805563
31,泰葳國際有限公司,28040192,臺中市北屯區平德里文心路４段４８０號５樓,28040192
32,睿星建設有限公司,28111359,臺中市大肚區瑞井里１鄰遊園路１段１１７號２樓,28111359
33,巨大國際股份有限公司,28343864,新竹縣竹北市六家八街１００巷２號１樓,28343864
34,清石建設有限公司,28461828,臺北市松山區東昌里民生東路４段１１２巷７弄１７號,28461828
35,特品室內裝修設計有限公司,28683477,臺北市內湖區湖元里民善街８５號,28683477
36,英屬維京群島商鍾琴股份有限公司台灣分公司,28999948,臺北市大安區華聲里光復南路１０２號８樓,28999948
37,杉川企業有限公司,34148517,臺北市中山區林森北路６７巷２３號１樓,34148517
38,利寶股份有限公司,53146150,臺南市北　區華德里文成五街１６８號１樓,53146150
39,赤水科技工業有限公司,53603162,彰化縣永靖鄉永南村１６鄰永西路１３７巷２２號１樓,53603162
40,彰興營造股份有限公司,56685594,新北市板橋區香丘里中山路１段２９３之２號１１樓,56685594
41,瑞麟電子遊戲場業,67703514,高雄市岡山區碧紅里２鄰中山北路２６號２樓,67703514
42,宣奇通路有限公司,80506425,臺北市松山區復盛里八德路４段７２巷１６弄５號,80506425
43,長奕資訊股份有限公司,84667767,新北市新店區百和里民族路１８７號,84667767
44,皓中有限公司,89704798,臺中市潭子區潭陽里圓通南路２５８號２樓,89704798
45,艾力克企業有限公司,97150790,高雄市左營區合群里海景街４１１號１２樓之１,97150790
46,永銓營造有限公司,97414012,桃園市中壢區信義里廣州街２４０－３號１０樓,97414012
