,freq
行政,16196
日文,14303
助理,11954
無經驗可,10388
英文,8728
作業員,7631
業務,6024
業務助理,5855
司機,5655
咖啡,5341
採購,4639
倉管,4409
遊戲,4148
兼職,3844
會計,3839
急徵 立即上班,3320
實習,2909
行政助理,2826
助理工程師,2780
國外業務,2756
客服,2635
保全,2628
工程師,2622
網拍,2497
晚班,2268
電子商務,2203
行銷,2090
學徒,2066
短期,2014
java,1940
秘書,1934
設計,1904
技術員,1884
主管司機,1882
工讀,1806
堆高機,1798
前端,1793
人資,1735
食品,1732
假日,1707
美編,1706
銀行,1680
android,1664
總務,1594
服飾,1579
企劃,1522
行銷企劃,1495
平面設計,1491
韓文,1482
python,1435
廠務,1423
法務,1412
早班,1385
設備,1376
電商,1362
夜班,1356
機電,1336
會計助理,1335
旅行社,1325
飯店,1322
藥師,1310
暑期實習,1310
生管,1307
CNC,1305
測試,1280
包裝,1244
中班,1191
工讀生,1187
公關,1178
社工,1152
水電,1145
化學,1137
周休二日,1111
攝影,1099
cnc,1098
寵物,1087
維修,1060
室內設計,1060
數據分析,1058
ios,1051
門市,1047
資訊,1034
無經驗,999
php,990
稽核,986
採購助理,979
二度就業,959
外務,955
主管,953
繪圖,940
營養師,938
暑期,933
律師,928
PM,920
儲備幹部,918
韌體,916
專案,902
設備工程師,891
早餐,866
測試工程師,862
行政人員,860
電機,853
餐飲,830
品保,827
交易員,825
汽車,824
財務,823
編輯,820
診所,818
研究助理,815
品管,813
技術,810
運動,789
大夜,788
前端工程師,780
網路行銷,769
模具,766
PHP,759
補習班,756
FAE,753
晚班兼職,745
機構工程師,736
日薪,735
身心障礙,734
大夜班,730
機械,727
特助,726
彈性排班 彈性排休,724
PLC,712
護理師,707
日文業務,707
出納,699
紡織,699
電話行銷,690
船務,689
廚師,687
出差,684
夜,684
做二休二,684
總機,683
ERP,681
人力資源,681
.NET,680
包裝員,679
iOS,670
日商,668
清潔,666
房務,664
醫美,657
國外業務助理,655
CNC銑床,652
物流,652
社群,651
機場,650
日語,648
專案管理,646
銷售,644
C#,643
marketing,638
假日兼職,638
送貨,632
遊戲客服,624
學生實習,623
音樂,622
室內設計助理,620
國貿,618
AutoCAD,615
工安,611
工業設計,610
建設,608
甜點,604
文案,597
理貨,594
空調,593
smt,588
統計,587
週休二日,577
業務人員,568
醫院,565
機械設計,563
美工,560
行銷助理,552
SAP,551
護理,549
工務,548
電子,547
美術,546
珠寶,544
假日工讀,542
活動,540
作業員/包裝員,540
plc,537
送貨司機,535
Java,531
數學,530
倉,528
半導體,524
短期工讀,521
總幹事,518
英文老師,518
大數據,517
網頁設計,517
Android,515
JAVA,515
基金會,515
製程工程師,507
健身,502
會計師事務所,494
活動企劃,493
櫃檯,491
網頁,488
資料分析,487
航空,487
SMT,486
領隊,484
藝術,483
儲備,482
暑期工讀,480
企劃助理,480
網路,479
遊戲企劃,477
櫃台,475
電腦,473
外商,471
廠護,468
旅遊,467
英語,466
外派,464
客服人員,463
自動控制,462
業務工程師,460
門市人員,459
約聘,459
pm,457
國貿人員,453
倉管人員,452
專案助理,450
實習律師,449
專利,443
展覽,442
服裝,440
研究員,437
材料,435
洗碗,435
設計助理,435
插畫,435
程式,433
攝影師,433
專櫃,433
建設公司,433
韓,430
大貨車,428
精品,427
數位行銷,426
數據,423
組裝,422
人工智慧,422
特別助理,422
藥局,419
遊戲測試,418
環境工程,418
經理,417
HR,413
主辦會計,412
toeic,411
二休二,410
顧問,410
麵包,409
TOEIC,408
軟體工程師,407
生物,406
遊戲美術,403
產品經理,401
廢水,397
酒,397
投資,396
Python,394
翻譯,393
打字,391
intern,390
倉儲,389
太陽能,385
停車場,382
化工,382
宿舍,381
商化,381
機構,380
自動化,379
網路工程師,377
日本,375
產品,375
資安,374
室內配線,373
家樂福,373
風險管理,370
MIS,368
桃園機場,368
機構設計,367
早午餐,366
印刷,366
軟體,365
百貨,364
實習生,359
攝影助理,357
生物科技,356
人事,356
精算,354
記者,354
sap,351
資料輸入,348
文字客服,342
星宇,341
誠品,340
電控,339
大貨車司機,338
區塊鏈,338
AI,338
北區業務,336
照顧服務員,335
電競,335
製程,334
蝦皮,333
英文翻譯,333
人資助理,332
美容,331
產品設計,330
教育訓練,328
機器學習,328
內場,326
維修工程師,326
新鮮人,325
7-11,325
研發替代役,324
職業安全衛生管理員,324
牙醫助理,324
塑膠,324
韓語,323
門市銷售,323
網頁設計師,322
新光三越,318
外勤,317
廣告,316
假日班,315
焊接,315
烘焙,314
研發,313
國外,311
台積電,307
韌體工程師,306
英文秘書,306
飲料,304
醫療,303
貿易,303
招募,303
工業工程,301
醫藥,300
放射師,299
化妝品,298
花藝,296
